LHA_1,LHA_2,DIST
Southern Okanagan,Vancouver - South,259657.497
Southern Okanagan,Vancouver - Midtown,260355.681
Southern Okanagan,Vancouver - Centre North,259499.495
Southern Okanagan,North Vancouver,257836.254
Southern Okanagan,Vancouver - Northeast,256937.894
Southern Okanagan,Burnaby,251502.886
Southern Okanagan,New Westminster,247598.483
Southern Okanagan,Surrey,239754.105
Southern Okanagan,Tri-Cities,239587.388
Southern Okanagan,Maple Ridge/Pitt Meadows,224643.245
Southern Okanagan,Delta,251627.637
Southern Okanagan,South Surrey/White Rock,239815.777
Southern Okanagan,Langley,226477.619
Southern Okanagan,Abbotsford,204090.95
Southern Okanagan,Chilliwack,176727.744
Southern Okanagan,Mission,202687.066
Southern Okanagan,Agassiz/Harrison,167725.891
Southern Okanagan,Hope,142224.507
Southern Okanagan,Merritt,139311.966
Southern Okanagan,South Cariboo,207553.84
Southern Okanagan,Lillooet,251702.918
Southern Okanagan,Central Okanagan,80169.9085
Southern Okanagan,Vernon,123228.634
Southern Okanagan,Armstrong/Spallumcheen,142494.254
Southern Okanagan,Enderby,162864.977
Southern Okanagan,Salmon Arm,176997.742
Southern Okanagan,Kamloops,180938.786
Southern Okanagan,North Thompson,289450.206
Southern Okanagan,100 Mile House,303615.598
Southern Okanagan,Grand Forks,81066.6126
Southern Okanagan,Keremeos,27644.0154
Southern Okanagan,Princeton,79773.2739
Southern Okanagan,Trail,134056.511
Southern Okanagan,Kettle Valley,40087.5239
Southern Okanagan,Summerland,49165.3583
Southern Okanagan,Penticton,35717.2776
Southern Okanagan,Castlegar,136090.241
Southern Okanagan,Creston,218995.856
Southern Okanagan,Revelstoke,225031.865
Southern Okanagan,Golden,300791.222
Southern Okanagan,Windermere,292228.4
Southern Okanagan,Arrow Lakes,167365.801
Southern Okanagan,Kootenay Lake,199910.177
Southern Okanagan,Nelson,161419.217
Southern Okanagan,Kimberley,261748.768
Southern Okanagan,Cranbrook,275528.285
Southern Okanagan,Cranbrook,275528.285
Penticton,Southern Gulf Islands,290795.422
Penticton,Saanich Peninsula,296966.844
Penticton,Greater Victoria,299838.154
Penticton,Sunshine Coast,298276.765
Penticton,Howe Sound,253676.653
Penticton,West Vancouver/Bowen Island,262784.602
Penticton,Vancouver - Westside,262084.153
Penticton,Richmond,260631.791
Penticton,Vancouver - City Centre,258285.831
Penticton,Vancouver - South,255934.591
Penticton,Vancouver - Midtown,256144.75
Penticton,Vancouver - Centre North,254895.692
Penticton,North Vancouver,252447.046
Penticton,Vancouver - Northeast,252700.178
Penticton,Burnaby,247457.433
Penticton,New Westminster,244158.514
Penticton,Surrey,237345.567
Penticton,Tri-Cities,235190.196
Penticton,Maple Ridge/Pitt Meadows,221275.945
Penticton,Delta,249674.946
Penticton,South Surrey/White Rock,239268.883
Penticton,Langley,224940.758
Penticton,Abbotsford,204179.628
Penticton,Chilliwack,175894.737
Penticton,Mission,200755.466
Penticton,Agassiz/Harrison,163476.005
Penticton,Hope,135004.721
Penticton,Merritt,111097.839
Penticton,South Cariboo,178331.021
Penticton,Lillooet,225378.174
Penticton,Central Okanagan,45319.121400000004
Penticton,Vernon,89574.344
Penticton,Armstrong/Spallumcheen,108618.925
Penticton,Enderby,129303.38
Penticton,Salmon Arm,142420.401
Penticton,Kamloops,145897.204
Penticton,North Thompson,253745.162
Penticton,100 Mile House,269409.129
Penticton,Southern Okanagan,35717.2776
Penticton,Grand Forks,97082.9695
Penticton,Keremeos,34124.4525
Penticton,Princeton,65512.9938
Penticton,Trail,144309.645
Penticton,Kettle Valley,44576.922
Penticton,Summerland,13978.0009
Penticton,Castlegar,140350.676
Penticton,Creston,226372.806
Penticton,Revelstoke,195493.259
Penticton,Golden,275951.628
Penticton,Windermere,278855.415
Penticton,Arrow Lakes,150637.959
Penticton,Kootenay Lake,191941.279
Penticton,Nelson,161305.409
Penticton,Kimberley,259794.504
Penticton,Cranbrook,276402.332
Penticton,Cranbrook,276402.332
Keremeos,Cowichan Valley North,288888.354
Keremeos,Cowichan Valley South,282247.274
Keremeos,Southern Gulf Islands,264819.361
Keremeos,Saanich Peninsula,268850.078
Keremeos,Greater Victoria,270694.564
Keremeos,Western Communities,285325.598
Keremeos,Sunshine Coast,278573.764
Keremeos,Howe Sound,240297.382
Keremeos,West Vancouver/Bowen Island,241702.38
Keremeos,Greater Nanaimo,298249.644
Keremeos,Vancouver - Westside,239866.697
Keremeos,Richmond,237324.993
Keremeos,Vancouver - City Centre,236320.513
Keremeos,Vancouver - South,233268.268
Keremeos,Vancouver - Midtown,233851.577
